LCH_index,step_list
LCH_40,"[8, 1, 152, 161, 46, 8, 1, 152, 161, 46, 50]"
LCH_41,"[8, 1, 152, 161, 46, 8, 1, 152, 161, 8, 1, 152, 161, 46, 46, 50]"
LCH_42,"[110, 43, 46, 46, 114, 113, 46, 46, 46, 46, 114]"
LCH_43,"[110, 43, 46, 46, 114, 113, 46, 46, 46, 46, 114]"
LCH_44,"[128, 55, 130, 55, 130, 126, 128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46, 128, 55, 130, 55, 130, 126, 128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46]"
LCH_45,"[128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46, 128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46, 46, 46]"
LCH_46,"[120, 153, 153, 123, 124, 43, 46, 152, 161, 152, 161, 152, 161, 46, 46, 46, 96, 158, 161, 152, 161, 18, 86, 88, 18, 86, 88, 64, 43, 46, 152, 161, 152, 161, 152, 161, 46, 46, 46, 152, 161, 152, 161, 86, 88, 86, 88, 64]"
LCH_47,"[43, 46, 46, 46, 152, 161, 152, 161, 46, 46, 46, 46, 46, 46, 46, 152, 161, 86, 88, 86, 88, 152, 161, 86, 88, 101, 86, 88]"
LCH_48,"[43, 46, 46, 46, 152, 161, 152, 161, 46, 46, 46, 46, 46, 46, 46, 152, 161, 86, 88, 86, 88, 152, 161, 86, 88, 101, 86, 88]"
LCH_49,"[113, 113, 46, 123, 124, 44, 46]"
LCH_50,"[113, 113, 45, 44, 46, 46]"
LCH_51,"[113, 113, 45, 113, 113, 45, 123, 124, 44, 46]"
LCH_52,"[113, 113, 45, 113, 113, 45, 44, 46]"
LCH_53,"[113, 113, 45, 45, 123, 124, 44, 45, 44, 46]"
LCH_54,"[113, 113, 45, 45, 123, 124, 44, 46]"
LCH_55,"[113, 113, 45, 45, 44, 45, 45, 44, 46]"
LCH_56,"[113, 113, 45, 45, 44, 46]"
LCH_57,"[113, 113, 45, 45, 123, 124, 44, 46]"
LCH_58,"[113, 113, 45, 45, 44, 46, 46]"
LCH_59,"[128, 55, 130, 55, 130, 126, 43, 46, 8, 1, 152, 161, 46, 43, 46, 152, 161, 46, 128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46, 49]"
LCH_60,"[128, 55, 130, 55, 130, 126, 43, 46, 8, 1, 152, 161, 46, 43, 46, 152, 161, 46, 46, 44, 46, 8, 1, 152, 161, 46, 46, 46]"
LCH_61,"[128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46, 43, 46, 128, 55, 130, 55, 130, 126, 8, 1, 152, 161, 46]"
LCH_62,"[117, 43, 46, 46, 44, 46]"
LCH_63,"[117, 43, 46, 46, 44, 46, 44, 46, 44, 46]"
LCH_64,"[117, 43, 46, 46, 44, 46, 44, 46, 44, 46]"
LCH_65,"[117, 43, 46, 46, 44, 46, 44, 46, 44, 46]"
LCH_66,"[117, 43, 46, 52, 46, 46, 44, 46, 43, 46, 44, 46, 46, 44, 46, 44, 46]"
LCH_67,"[117, 43, 46, 46, 120, 44, 46, 44, 46, 44, 46]"
LCH_68,"[117, 43, 46, 46, 44, 120, 44, 46, 44, 46, 44, 46]"
LCH_69,"[117, 126, 126, 120, 43, 46, 152, 161, 52, 46, 46, 43, 44, 46, 46, 44, 46]"
LCH_70,"[96, 14, 20, 20, 20, 20, 117, 153, 152, 161, 86, 88, 86, 88, 89, 101, 86, 88, 86, 88]"
LCH_71,"[96, 14, 117, 153, 152, 161, 86, 88, 86, 88, 86, 88, 86, 88]"
LCH_72,"[126, 126]"
LCH_73,"[127, 54, 126, 120, 119, 54]"
LCH_74,[126]
LCH_75,"[113, 46, 113, 46]"
LCH_76,"[123, 124, 123, 124, 113, 46]"
LCH_77,"[152, 161, 152, 161, 113, 113, 114, 46, 113, 113, 114, 46, 52, 46, 152, 161, 152, 161, 46, 46, 44, 46, 110, 44, 45, 44, 46, 114, 44, 46, 110, 44, 45, 44, 46, 114, 152, 161, 152, 161, 113, 113, 114, 46, 113, 113, 114, 46, 52, 46, 152, 161, 152, 161, 46, 46, 44, 46, 110, 44, 45, 44, 46, 114, 44, 46, 110, 44, 45, 44, 46, 114]"
LCH_78,"[113, 46, 52, 52]"
LCH_79,"[123, 124, 8, 1, 152, 161, 46]"
LCH_80,"[123, 124, 123, 124, 117, 8, 1, 152, 161, 46, 117, 8, 1, 152, 161, 46, 117, 44, 46]"
LCH_81,"[123, 124, 8, 1, 152, 161, 46, 123, 124, 117, 8, 1, 152, 161, 46]"
LCH_82,"[117, 8, 1, 152, 161, 46, 117, 43, 46]"
LCH_83,"[126, 126, 120, 8, 1, 152, 161, 46, 52, 52, 43, 46, 46, 43, 46, 46]"
LCH_84,"[113, 46, 52, 52, 113, 46, 46, 113, 46, 46]"
LCH_85,"[113, 46, 52, 52, 123, 124, 44, 46, 46, 46, 46]"
LCH_86,"[43, 46, 46, 43, 46]"
LCH_87,"[43, 46, 46]"
LCH_88,"[43, 46, 46]"
LCH_89,"[43, 46, 43, 46]"
LCH_90,"[43, 46, 43, 46]"
LCH_91,"[43, 46, 46, 43, 46]"
LCH_92,"[113, 113, 114, 46, 114, 113, 113, 114, 46, 110, 113, 113, 114, 46, 46, 114, 113, 113, 114, 46, 114, 113, 113, 114, 46, 110, 113, 113, 114, 114, 46, 46]"
LCH_93,"[113, 114, 46, 114, 113, 114, 46, 110, 113, 114, 46, 46, 114]"
LCH_94,"[117, 117, 117, 117, 117, 55, 130, 55, 130, 126, 37, 39, 41, 153, 152, 161, 46, 43, 43, 43, 43, 152, 161, 46, 46]"
LCH_95,"[117, 117, 117, 117, 117, 55, 130, 55, 130, 126, 37, 39, 41, 153, 152, 161, 46, 43, 43, 43, 43, 152, 161, 46, 46]"
LCH_96,"[117, 117, 117, 117, 117, 55, 130, 55, 130, 126, 37, 39, 41, 153, 152, 161, 46, 43, 43, 43, 43, 152, 161, 46, 46, 46]"
LCH_97,"[117, 117, 117, 117, 117, 55, 130, 55, 130, 126, 37, 39, 41, 153, 152, 161, 46, 43, 43, 43, 43, 152, 161, 46, 46]"
LCH_98,"[117, 117, 117, 117, 117, 55, 130, 55, 130, 126, 37, 39, 41, 153, 152, 161, 46, 43, 43, 43, 43, 152, 161, 46, 46]"
LCH_99,"[117, 117, 117, 117, 117, 55, 130, 55, 130, 126, 37, 39, 41, 153, 152, 161, 46, 43, 43, 43, 43, 152, 161, 46, 46]"
LCH_100,"[43, 46, 46, 43, 43, 46, 43, 43, 46]"
LCH_101,"[117, 43, 46, 46, 43, 43, 46, 63, 46, 63]"
LCH_102,"[117, 113, 113, 45, 46, 114, 114, 113, 46, 46, 64]"
LCH_103,"[117, 43, 46, 46]"
LCH_104,"[128, 123, 132, 133, 134]"
LCH_105,"[117, 152, 161, 86, 88, 88, 88, 88, 88]"
LCH_106,"[117, 152, 161, 86, 88, 88, 88, 88, 88, 117, 152, 161, 86, 88, 88, 88, 88, 88]"
LCH_107,"[113, 113, 114, 46, 114, 113, 114, 46, 114, 128, 123, 132, 133, 134, 123, 124, 123, 124, 117, 113, 114, 46, 114]"
LCH_108,"[128, 123, 132, 133, 133, 134, 123, 124, 117, 113, 113, 114, 46, 114]"
LCH_109,"[112, 46, 114, 114, 114, 128, 123, 132, 133, 133, 134, 123, 124, 123, 124, 117, 112, 46, 114, 114, 114, 117, 112, 46, 114, 114, 114, 117, 55, 130, 123, 124, 123, 124, 112, 46, 114, 114, 114]"
LCH_110,"[117, 128, 123, 132, 133, 134, 55, 130, 123, 124, 43, 46, 152, 161, 86, 88, 86, 88, 86, 88, 86, 88]"
LCH_111,"[117, 117, 43, 46, 46, 43, 46, 152, 161, 86, 88, 86, 88, 86, 88, 86, 88, 86, 88]"
LCH_112,"[43, 46, 43, 46, 46, 152, 161, 86, 88, 86, 88, 86, 88, 86, 88, 86, 88, 86, 88, 86, 88]"
